Start Time  Tuesday January 11 2022 18:32:33,,,,,,,
Bitrate   500 kbit/s,,,,,,,
Operating Mode  Std Ext ErrDet,,,,,,,
Driver Version  4.1.212.0,,,,,,,
Bus,No,Time,State,ID (hex),DLC,Data (hex),ASCII
USB-to-CAN V2 compact  CAN-1,54,00:06.3,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,55,00:06.5,      ,704,1,5,.
USB-to-CAN V2 compact  CAN-1,56,00:06.6,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,57,00:06.6,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,58,00:06.7,      ,705,1,5,.
USB-to-CAN V2 compact  CAN-1,59,00:06.9,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,60,00:07.0,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,61,00:07.1,      ,706,1,5,.
USB-to-CAN V2 compact  CAN-1,62,00:07.2,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,63,00:07.4,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,64,00:07.5,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,65,00:07.5,      ,704,1,5,.
USB-to-CAN V2 compact  CAN-1,66,00:07.7,      ,705,1,5,.
USB-to-CAN V2 compact  CAN-1,67,00:07.8,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,68,00:07.9,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,69,00:08.1,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,70,00:08.1,      ,706,1,5,.
USB-to-CAN V2 compact  CAN-1,71,00:08.3,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,72,00:08.4,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,73,00:08.5,      ,182,4,00 00 F2 00,....
USB-to-CAN V2 compact  CAN-1,74,00:08.5,      ,704,1,5,.
USB-to-CAN V2 compact  CAN-1,75,00:08.7,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,76,00:08.7,      ,182,4,00 00 A1 00,....
USB-to-CAN V2 compact  CAN-1,77,00:08.7,      ,604,8,2F 60 60 00 01 00 00 00,/``.....
USB-to-CAN V2 compact  CAN-1,78,00:08.7,      ,584,8,60 60 60 00 00 00 00 00,```.....
USB-to-CAN V2 compact  CAN-1,79,00:08.7,      ,204,2,0F 20,. 
USB-to-CAN V2 compact  CAN-1,80,00:08.7,      ,184,6,33 07 C2 C0 FF FF,3.....
USB-to-CAN V2 compact  CAN-1,81,00:08.7,      ,705,1,5,.
USB-to-CAN V2 compact  CAN-1,82,00:08.8,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,83,00:08.8,      ,184,6,37 86 C2 C0 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,84,00:08.8,      ,404,8,00 00 00 00 00 00 02 00,........
USB-to-CAN V2 compact  CAN-1,85,00:08.9,      ,304,8,00 00 00 00 7F 19 06 00,.......
USB-to-CAN V2 compact  CAN-1,86,00:08.9,      ,204,2,3F 20,? 
USB-to-CAN V2 compact  CAN-1,87,00:08.9,      ,184,6,37 92 C2 C0 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,88,00:09.0,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,89,00:09.0,      ,602,8,2B 02 20 0E 00 01 00 00,+. .....
USB-to-CAN V2 compact  CAN-1,90,00:09.0,      ,582,8,60 02 20 0E 00 00 00 00,`. .....
USB-to-CAN V2 compact  CAN-1,91,00:09.0,      ,602,8,2B 03 20 0C 01 00 00 00,+. .....
USB-to-CAN V2 compact  CAN-1,92,00:09.0,      ,582,8,60 03 20 0C 00 00 00 00,`. .....
USB-to-CAN V2 compact  CAN-1,93,00:09.0,      ,184,6,37 92 DC C0 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,94,00:09.0,      ,184,6,37 92 E2 C0 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,95,00:09.0,      ,184,6,37 92 E5 C0 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,96,00:09.1,      ,184,6,37 92 EF C0 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,97,00:09.1,      ,184,6,37 92 05 C1 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,98,00:09.1,      ,706,1,5,.
USB-to-CAN V2 compact  CAN-1,99,00:09.1,      ,184,6,37 92 2D C1 FF FF,7.-...
USB-to-CAN V2 compact  CAN-1,100,00:09.2,      ,184,6,37 92 60 C1 FF FF,7.`...
USB-to-CAN V2 compact  CAN-1,101,00:09.2,      ,184,6,37 92 9E C1 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,102,00:09.2,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,103,00:09.2,      ,184,6,37 92 EB C1 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,104,00:09.2,      ,184,6,37 92 3D C2 FF FF,7.=...
USB-to-CAN V2 compact  CAN-1,105,00:09.3,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,106,00:09.3,      ,184,6,37 92 93 C2 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,107,00:09.3,      ,184,6,37 92 EC C2 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,108,00:09.3,      ,184,6,37 92 47 C3 FF FF,7.G...
USB-to-CAN V2 compact  CAN-1,109,00:09.4,      ,184,6,37 92 AD C3 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,110,00:09.4,      ,184,6,37 92 1F C4 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,111,00:09.4,      ,184,6,37 92 9A C4 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,112,00:09.5,      ,184,6,37 92 15 C5 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,113,00:09.5,      ,184,6,37 92 9F C5 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,114,00:09.5,      ,184,6,37 92 3A C6 FF FF,7.:...
USB-to-CAN V2 compact  CAN-1,115,00:09.5,      ,704,1,5,.
USB-to-CAN V2 compact  CAN-1,116,00:09.5,      ,184,6,37 92 D3 C6 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,117,00:09.6,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,118,00:09.6,      ,184,6,37 92 6D C7 FF FF,7.m...
USB-to-CAN V2 compact  CAN-1,119,00:09.6,      ,184,6,37 92 18 C8 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,120,00:09.6,      ,184,6,37 92 CD C8 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,121,00:09.7,      ,184,6,37 92 74 C9 FF FF,7.t...
USB-to-CAN V2 compact  CAN-1,122,00:09.7,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,123,00:09.7,      ,184,6,37 92 1E CA FF FF,7.....
USB-to-CAN V2 compact  CAN-1,124,00:09.7,      ,705,1,5,.
USB-to-CAN V2 compact  CAN-1,125,00:09.7,      ,184,6,37 92 C8 CA FF FF,7.....
USB-to-CAN V2 compact  CAN-1,126,00:09.8,      ,184,6,37 92 8D CB FF FF,7.....
USB-to-CAN V2 compact  CAN-1,127,00:09.8,      ,184,6,37 92 40 CC FF FF,7.@...
USB-to-CAN V2 compact  CAN-1,128,00:09.8,      ,184,6,37 92 DB CC FF FF,7.....
USB-to-CAN V2 compact  CAN-1,129,00:09.8,      ,184,6,37 92 92 CD FF FF,7.....
USB-to-CAN V2 compact  CAN-1,130,00:09.9,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,131,00:09.9,      ,184,6,37 92 50 CE FF FF,7.P...
USB-to-CAN V2 compact  CAN-1,132,00:09.9,      ,184,6,37 92 0B CF FF FF,7.....
USB-to-CAN V2 compact  CAN-1,133,00:09.9,      ,184,6,37 92 CF CF FF FF,7.....
USB-to-CAN V2 compact  CAN-1,134,00:10.0,      ,184,6,37 92 87 D0 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,135,00:10.0,      ,184,6,37 92 50 D1 FF FF,7.P...
USB-to-CAN V2 compact  CAN-1,136,00:10.0,      ,184,6,37 92 0D D2 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,137,00:10.1,      ,184,6,37 92 B4 D2 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,138,00:10.1,      ,184,6,37 92 63 D3 FF FF,7.c...
USB-to-CAN V2 compact  CAN-1,139,00:10.1,      ,706,1,5,.
USB-to-CAN V2 compact  CAN-1,140,00:10.1,      ,184,6,37 92 0F D4 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,141,00:10.1,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,142,00:10.1,      ,184,6,37 92 B5 D4 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,143,00:10.2,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,144,00:10.2,      ,184,6,37 92 62 D5 FF FF,7.b...
USB-to-CAN V2 compact  CAN-1,145,00:10.2,      ,184,6,37 92 19 D6 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,146,00:10.2,      ,184,6,37 92 CF D6 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,147,00:10.3,      ,184,6,37 92 94 D7 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,148,00:10.3,      ,184,6,37 92 4E D8 FF FF,7.N...
USB-to-CAN V2 compact  CAN-1,149,00:10.3,      ,184,6,37 92 04 D9 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,150,00:10.4,      ,184,6,37 92 CB D9 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,151,00:10.4,      ,184,6,37 92 7B DA FF FF,7.{...
USB-to-CAN V2 compact  CAN-1,152,00:10.4,      ,184,6,37 92 2F DB FF FF,7./...
USB-to-CAN V2 compact  CAN-1,153,00:10.4,      ,182,4,00 00 9D 00,....
USB-to-CAN V2 compact  CAN-1,154,00:10.4,      ,184,6,37 92 EB DB FF FF,7.....
USB-to-CAN V2 compact  CAN-1,155,00:10.4,      ,204,2,2F 20,/ 
USB-to-CAN V2 compact  CAN-1,156,00:10.5,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,157,00:10.5,      ,184,6,37 82 9B DC FF FF,7.....
USB-to-CAN V2 compact  CAN-1,158,00:10.5,      ,204,2,3F 20,? 
USB-to-CAN V2 compact  CAN-1,159,00:10.5,      ,184,6,37 92 4B DD FF FF,7.K...
USB-to-CAN V2 compact  CAN-1,160,00:10.5,      ,184,6,37 92 01 DE FF FF,7.....
USB-to-CAN V2 compact  CAN-1,161,00:10.5,      ,704,1,5,.
USB-to-CAN V2 compact  CAN-1,162,00:10.6,      ,184,6,37 92 AD DE FF FF,7.....
USB-to-CAN V2 compact  CAN-1,163,00:10.6,      ,184,6,37 92 64 DF FF FF,7.d...
USB-to-CAN V2 compact  CAN-1,164,00:10.6,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,165,00:10.6,      ,184,6,37 92 20 E0 FF FF,7. ...
USB-to-CAN V2 compact  CAN-1,166,00:10.6,      ,182,4,00 00 AA 00,....
USB-to-CAN V2 compact  CAN-1,167,00:10.6,      ,204,2,2F 20,/ 
USB-to-CAN V2 compact  CAN-1,168,00:10.7,      ,184,6,37 82 DC E0 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,169,00:10.7,      ,204,2,3F 20,? 
USB-to-CAN V2 compact  CAN-1,170,00:10.7,      ,184,6,37 92 96 E1 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,171,00:10.7,      ,184,6,37 92 53 E2 FF FF,7.S...
USB-to-CAN V2 compact  CAN-1,172,00:10.7,      ,705,1,5,.
USB-to-CAN V2 compact  CAN-1,173,00:10.7,      ,184,6,37 92 13 E3 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,174,00:10.8,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,175,00:10.8,      ,184,6,37 92 C0 E3 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,176,00:10.8,      ,184,6,37 92 77 E4 FF FF,7.w...
USB-to-CAN V2 compact  CAN-1,177,00:10.8,      ,182,4,00 00 00 00,....
USB-to-CAN V2 compact  CAN-1,178,00:10.8,      ,184,6,37 92 2A E5 FF FF,7.*...
USB-to-CAN V2 compact  CAN-1,179,00:10.8,      ,204,2,2F 21,/!
USB-to-CAN V2 compact  CAN-1,180,00:10.9,      ,184,6,37 82 A5 E5 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,181,00:10.9,      ,602,8,2B 03 20 0C 00 01 00 00,+. .....
USB-to-CAN V2 compact  CAN-1,182,00:10.9,      ,582,8,60 03 20 0C 00 00 00 00,`. .....
USB-to-CAN V2 compact  CAN-1,183,00:10.9,      ,184,6,37 82 26 E6 FF FF,7.&...
USB-to-CAN V2 compact  CAN-1,184,00:10.9,      ,602,8,2B 02 20 0E 01 00 00 00,+. .....
USB-to-CAN V2 compact  CAN-1,185,00:10.9,      ,185,6,33 06 5D 65 FF FF,3.]e..
USB-to-CAN V2 compact  CAN-1,186,00:10.9,      ,582,8,60 02 20 0E 00 00 00 00,`. .....
USB-to-CAN V2 compact  CAN-1,187,00:10.9,      ,602,8,2B 03 20 06 00 01 00 00,+. .....
USB-to-CAN V2 compact  CAN-1,188,00:10.9,      ,582,8,60 03 20 06 00 00 00 00,`. .....
USB-to-CAN V2 compact  CAN-1,189,00:10.9,      ,184,6,37 82 AE E6 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,190,00:10.9,      ,185,6,33 06 5C 65 FF FF,3.\e..
USB-to-CAN V2 compact  CAN-1,191,00:11.0,      ,184,6,37 82 53 E7 FF FF,7.S...
USB-to-CAN V2 compact  CAN-1,192,00:11.0,      ,185,6,33 06 5D 65 FF FF,3.]e..
USB-to-CAN V2 compact  CAN-1,193,00:11.0,      ,184,6,37 82 E5 E7 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,194,00:11.0,      ,185,6,33 06 5C 65 FF FF,3.\e..
USB-to-CAN V2 compact  CAN-1,195,00:11.0,      ,184,6,37 82 69 E8 FF FF,7.i...
USB-to-CAN V2 compact  CAN-1,196,00:11.0,      ,184,6,37 82 ED E8 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,197,00:11.1,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,198,00:11.1,      ,184,6,37 82 8C E9 FF FF,7.....
USB-to-CAN V2 compact  CAN-1,199,00:11.1,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,200,00:11.1,      ,184,6,37 82 1A EA FF FF,7.....
USB-to-CAN V2 compact  CAN-1,201,00:11.1,      ,706,1,5,.
USB-to-CAN V2 compact  CAN-1,202,00:11.1,      ,184,6,37 82 85 EA FF FF,7.....
USB-to-CAN V2 compact  CAN-1,203,00:11.2,      ,184,6,37 82 E4 EA FF FF,7.....
USB-to-CAN V2 compact  CAN-1,204,00:11.2,      ,184,6,37 82 4A EB FF FF,7.J...
USB-to-CAN V2 compact  CAN-1,205,00:11.2,      ,184,6,37 82 A5 EB FF FF,7.....
USB-to-CAN V2 compact  CAN-1,206,00:11.3,      ,184,6,37 82 E7 EB FF FF,7.....
USB-to-CAN V2 compact  CAN-1,207,00:11.3,      ,184,6,37 82 22 EC FF FF,"7.""..."
USB-to-CAN V2 compact  CAN-1,208,00:11.3,      ,184,6,37 82 64 EC FF FF,7.d...
USB-to-CAN V2 compact  CAN-1,209,00:11.3,      ,184,6,37 82 9E EC FF FF,7.....
USB-to-CAN V2 compact  CAN-1,210,00:11.4,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,211,00:11.4,      ,184,6,37 82 C3 EC FF FF,7.....
USB-to-CAN V2 compact  CAN-1,212,00:11.4,      ,184,6,37 82 DD EC FF FF,7.....
USB-to-CAN V2 compact  CAN-1,213,00:11.4,      ,184,6,37 82 FC EC FF FF,7.....
USB-to-CAN V2 compact  CAN-1,214,00:11.5,      ,184,6,37 82 1E ED FF FF,7.....
USB-to-CAN V2 compact  CAN-1,215,00:11.5,      ,184,6,37 82 3A ED FF FF,7.:...
USB-to-CAN V2 compact  CAN-1,216,00:11.5,      ,184,6,37 82 4D ED FF FF,7.M...
USB-to-CAN V2 compact  CAN-1,217,00:11.5,      ,704,1,5,.
USB-to-CAN V2 compact  CAN-1,218,00:11.5,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,219,00:11.6,      ,184,6,37 86 68 ED FF FF,7.h...
USB-to-CAN V2 compact  CAN-1,220,00:11.6,      ,404,8,00 00 02 00 00 00 02 00,........
USB-to-CAN V2 compact  CAN-1,221,00:11.6,      ,184,6,37 86 8A ED FF FF,7.....
USB-to-CAN V2 compact  CAN-1,222,00:11.6,      ,184,6,37 86 99 ED FF FF,7.....
USB-to-CAN V2 compact  CAN-1,223,00:11.6,      ,184,6,37 86 9C ED FF FF,7.....
USB-to-CAN V2 compact  CAN-1,224,00:11.7,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,225,00:11.7,      ,204,2,27 20,' 
USB-to-CAN V2 compact  CAN-1,226,00:11.7,      ,184,6,37 87 9C ED FF FF,7.....
USB-to-CAN V2 compact  CAN-1,227,00:11.7,      ,705,1,5,.
USB-to-CAN V2 compact  CAN-1,228,00:11.7,      ,184,6,33 06 6B ED FF FF,3.k...
USB-to-CAN V2 compact  CAN-1,229,00:12.0,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,230,00:12.0,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,231,00:12.1,      ,706,1,5,.
USB-to-CAN V2 compact  CAN-1,232,00:12.3,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,233,00:12.4,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,234,00:12.5,      ,704,1,5,.
USB-to-CAN V2 compact  CAN-1,235,00:12.6,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,236,00:12.7,      ,705,1,5,.
USB-to-CAN V2 compact  CAN-1,237,00:12.9,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,238,00:12.9,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,239,00:13.1,      ,706,1,5,.
USB-to-CAN V2 compact  CAN-1,240,00:13.2,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,241,00:13.3,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,242,00:13.5,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,243,00:13.5,      ,704,1,5,.
USB-to-CAN V2 compact  CAN-1,244,00:13.7,      ,705,1,5,.
USB-to-CAN V2 compact  CAN-1,245,00:13.7,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,246,00:13.8,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,247,00:14.1,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,248,00:14.1,      ,706,1,5,.
USB-to-CAN V2 compact  CAN-1,249,00:14.2,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,250,00:14.4,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,251,00:14.5,      ,704,1,5,.
USB-to-CAN V2 compact  CAN-1,252,00:14.6,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,253,00:14.7,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,254,00:14.7,      ,705,1,5,.
